,street_no,street,city,suburb,postcode
98,315,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
99,317,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
100,319,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
101,327,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
102,329,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
103,331,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
104,333,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
105,335,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
106,337,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
107,339,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
108,341,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
109,344,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
110,346,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
111,351,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
112,354,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
113,357,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
114,358,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
115,359,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
116,360,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
117,362,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
118,364,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
119,366,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
120,368,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
121,370,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
122,371,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
123,372,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
124,375,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
125,377,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
126,378,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
127,379,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
128,380,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
129,381,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
130,382,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
131,383,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
132,385,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
133,387,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
134,388,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
135,389,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
136,390,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
137,391,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
138,392,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
139,393,PINE HILL ROAD,DUNEDIN,LIBERTON,9010
140,394,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
141,395,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
142,396,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
143,397,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
144,398,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
145,399,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
146,401,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
147,402,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
148,403,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
149,405,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
150,407,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
151,409,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
152,411,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
153,414,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
154,415,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
155,416,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
156,417,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
157,419,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
158,421,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
159,423,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
160,425,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
161,427,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
162,428,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
163,429,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
164,430,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
165,431,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
166,433,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
167,434,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
168,435,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
169,440,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
170,441,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
171,442,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
172,444,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
173,446,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
174,448,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
175,450,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
176,452,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
177,454,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
178,456,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
179,458,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
180,461,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
181,462,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
182,464,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
183,466,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
184,467,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
185,468,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
186,470,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
187,472,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
188,474,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
189,476,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
190,478,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
191,500,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
192,510,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
193,516,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
194,520,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
195,521,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
196,522,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
197,532,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
198,588,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
199,594,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
200,598,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
201,621,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
202,637,PINE HILL ROAD,DUNEDIN,PINE HILL,9010
